name,hour,eligible_ticks,blocked_pct
Commerce Street,0,88235,14.409248030826769
Commerce Street,1,88200,17.07142857142857
Commerce Street,2,88174,15.534057658720258
Commerce Street,3,88140,13.799636941229862
Commerce Street,4,88140,14.033356024506466
Commerce Street,5,88140,16.12094395280236
Commerce Street,6,88140,16.430678466076696
Commerce Street,7,88140,18.191513501248014
Commerce Street,8,88140,17.328114363512594
Commerce Street,9,88140,17.1000680735194
Commerce Street,10,88140,18.980031767642387
Commerce Street,11,88140,17.93510324483776
Commerce Street,12,88160,17.64519056261343
Commerce Street,13,88200,17.994331065759635
Commerce Street,14,88200,15.741496598639456
Commerce Street,15,88200,15.77437641723356
Commerce Street,16,88200,14.351473922902494
Commerce Street,17,88203,12.962144144756982
Commerce Street,18,88243,13.208979749101912
Commerce Street,19,88200,13.674603174603176
Commerce Street,20,88249,14.73217826830899
Commerce Street,21,88260,14.421028778608655
Commerce Street,22,88260,11.21572626331294
Commerce Street,23,88260,12.559483344663494
Hirsch Road,0,66248,13.417763555126191
Hirsch Road,1,66300,14.633484162895927
Hirsch Road,2,66268,14.035431882658298
Hirsch Road,3,66232,15.3218987800459
Hirsch Road,4,66196,19.43924104175479
Hirsch Road,5,66146,17.110634051945695
Hirsch Road,6,66180,14.993955877908736
Hirsch Road,7,66280,12.546771273385637
Hirsch Road,8,66309,15.390067713281757
Hirsch Road,9,66305,16.08023527637433
Hirsch Road,10,66315,14.688984392671342
Hirsch Road,11,66331,15.810103873000559
Hirsch Road,12,66325,14.273652468903128
Hirsch Road,13,66360,14.84629294755877
Hirsch Road,14,66371,14.192945714242667
Hirsch Road,15,66360,12.941531042796866
Hirsch Road,16,66301,11.464382136016047
Hirsch Road,17,66300,11.788838612368025
Hirsch Road,18,66275,11.924556771029799
Hirsch Road,19,66172,12.3360333675875
Hirsch Road,20,66065,14.220843109059258
Hirsch Road,21,66034,15.802465396613865
Hirsch Road,22,66085,15.030642354543392
Hirsch Road,23,66240,14.221014492753623
Leeland Street,0,72540,12.393162393162394
Leeland Street,1,72540,13.59801488833747
Leeland Street,2,72500,12.337931034482759
Leeland Street,3,72480,9.962748344370862
Leeland Street,4,72461,9.994341783856143
Leeland Street,5,72420,11.949737641535489
Leeland Street,6,72420,12.531068765534384
Leeland Street,7,72466,14.936659950873512
Leeland Street,8,72550,14.283942108890422
Leeland Street,9,72647,14.368108800088098
Leeland Street,10,72660,16.892375447288742
Leeland Street,11,72654,19.897046274121177
Leeland Street,12,72587,20.65659140066403
Leeland Street,13,72570,20.41339396444812
Leeland Street,14,72540,18.351254480286737
Leeland Street,15,72540,16.11111111111111
Leeland Street,16,72540,13.72897711607389
Leeland Street,17,72540,12.790184725668595
Leeland Street,18,72489,12.78676764750514
Leeland Street,19,72480,14.230132450331126
Leeland Street,20,72480,15.56705298013245
Leeland Street,21,72480,13.885209713024283
Leeland Street,22,72480,11.830849889624725
Leeland Street,23,72518,11.963926197633691
Lockwood Street,0,87540,7.95407813570939
Lockwood Street,1,87540,10.106237148732008
Lockwood Street,2,87577,11.122783379197735
Lockwood Street,3,87595,9.656943889491409
Lockwood Street,4,87540,7.901530728809687
Lockwood Street,5,87552,9.239080774853802
Lockwood Street,6,87600,9.333333333333334
Lockwood Street,7,87600,8.13812785388128
Lockwood Street,8,87600,8.893835616438356
Lockwood Street,9,87600,8.270547945205479
Lockwood Street,10,87600,8.32876712328767
Lockwood Street,11,87600,7.77283105022831
Lockwood Street,12,87600,7.699771689497717
Lockwood Street,13,87600,6.383561643835617
Lockwood Street,14,87600,6.205479452054795
Lockwood Street,15,87600,5.075342465753425
Lockwood Street,16,87600,5.232876712328767
Lockwood Street,17,87600,4.507990867579909
Lockwood Street,18,87592,4.555210521508814
Lockwood Street,19,87540,4.677861549006169
Lockwood Street,20,87540,6.014393420150788
Lockwood Street,21,87540,6.6198309344299755
Lockwood Street,22,87540,6.77061914553347
Lockwood Street,23,87540,7.4491660954992005
Market Street,0,78240,16.775306748466257
Market Street,1,78240,15.681237218813907
Market Street,2,78240,15.676124744376278
Market Street,3,78240,13.941717791411042
Market Street,4,78199,12.103735341884168
Market Street,5,78120,12.048131080389144
Market Street,6,78120,10.97926267281106
Market Street,7,78085,9.987833770890695
Market Street,8,78060,11.184985908275685
Market Street,9,78060,14.272354599026391
Market Street,10,78060,13.248782987445553
Market Street,11,78060,12.272610812195747
Market Street,12,78060,11.447604406866512
Market Street,13,78113,11.697156683266549
Market Street,14,78120,10.576036866359447
Market Street,15,78147,10.257591462244232
Market Street,16,78180,10.487336914811971
Market Street,17,78180,14.036838066001536
Market Street,18,78222,13.863107565646493
Market Street,19,78240,15.581543967280165
Market Street,20,78240,16.876278118609406
Market Street,21,78240,16.235940695296524
Market Street,22,78240,15.665899795501023
Market Street,23,78240,16.17075664621677
Polk Street,0,82380,10.426074289876183
Polk Street,1,82380,10.502549162418063
Polk Street,2,82380,9.066521000242778
Polk Street,3,82342,6.766899030871245
Polk Street,4,82320,5.86734693877551
Polk Street,5,82320,6.448007774538386
Polk Street,6,82260,7.309749574519815
Polk Street,7,82183,7.226555370332063
Polk Street,8,82140,6.706841977112248
Polk Street,9,82154,5.626019426929912
Polk Street,10,82200,5.254257907542579
Polk Street,11,82200,5.221411192214112
Polk Street,12,82203,4.042431541427929
Polk Street,13,82089,2.844473681004763
Polk Street,14,82110,3.361344537815126
Polk Street,15,82200,4.562043795620438
Polk Street,16,82170,5.59815017646343
Polk Street,17,82266,7.143899059149588
Polk Street,18,82242,8.205053379052066
Polk Street,19,82272,9.208479190976274
Polk Street,20,82351,10.6264647666695
Polk Street,21,82403,11.520211642779996
Polk Street,22,82391,10.848272262747145
Polk Street,23,82380,10.747754309298374
Telephone Road,0,18434,3.9275252251274817
Telephone Road,1,18377,3.56423790607825
Telephone Road,2,18380,4.200217627856365
Telephone Road,3,18325,3.4979536152796724
Telephone Road,4,18210,3.558484349258649
Telephone Road,5,18197,4.077595208001319
Telephone Road,6,18148,6.2871941811769885
Telephone Road,7,18113,6.691326671451443
Telephone Road,8,17946,6.218655967903711
Telephone Road,9,17856,4.816308243727598
Telephone Road,10,17978,4.59450439425965
Telephone Road,11,18105,4.28058547362607
Telephone Road,12,18377,4.98993306850955
Telephone Road,13,18429,3.570459601714689
Telephone Road,14,18634,3.9229365675646664
Telephone Road,15,18502,4.707599178467193
Telephone Road,16,18431,5.121805653518528
Telephone Road,17,18432,4.768880208333334
Telephone Road,18,18532,3.4319015756529243
Telephone Road,19,18437,3.9757010359602973
Telephone Road,20,18480,4.0313852813852815
Telephone Road,21,18468,4.748754602555772
Telephone Road,22,18417,4.484986697073356
Telephone Road,23,18408,4.3296392872664065
York Street,0,86008,7.181890056738909
York Street,1,85933,8.031838758102243
York Street,2,85813,8.639716593056997
York Street,3,85850,7.428072218986605
York Street,4,85791,6.314182140317749
York Street,5,85745,6.798064027056972
York Street,6,85725,6.544181977252843
York Street,7,85680,6.705182072829132
York Street,8,85680,7.573529411764706
York Street,9,85662,7.074315332352735
York Street,10,85730,8.052023795637467
York Street,11,86010,7.765376119055924
York Street,12,86174,7.29802492631188
York Street,13,86280,6.645804357904497
York Street,14,86163,6.183628703735942
York Street,15,86182,4.9615929080318395
York Street,16,86185,4.31861692869989
York Street,17,86069,3.684253331629274
York Street,18,86102,3.6479988850433207
York Street,19,86042,3.5192115478487254
York Street,20,86040,4.038819153881915
York Street,21,86075,4.716816729596282
York Street,22,86100,5.471544715447155
York Street,23,86065,6.07447859176204
