Crossing,,,FRA Number,Latitude,Longitude,Google Maps:,CSV
Little York Road - 758757E,,,758757E,29.8702145,-95.3150295,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/LITTLE_YORK_ROAD.csv
Lockwood Drive - 448535P,,,448535P,29.8233441,-95.3185392,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/LOCKWOOD_DRIVE.csv
Lockwood Street - 859523F,,,859523F,29.7421492,-95.3296417,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/LOCKWOOD_STREET.csv
Long Dr - 023214G,,,023214G,29.6946475,-95.326493,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/LONG_DR.csv
Long Point Road - 743270B,,,743270B,29.8030318,-95.4627124,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/LONG_POINT_ROAD.csv
Market Street - 755709E,,,755709E,29.772886,-95.3125651,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/MARKET_STREET.csv
Mccarty St - 869788K,,,869788K,29.750562,-95.283499,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/MCCARTY_ST.csv
Mt Houston Road - 755863C,,,755863C,29.8911362,-95.3066249,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/MT_HOUSTON_ROAD.csv
Oates Road - 745074B,,,745074B,29.8199097,-95.2407001,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/OATES_ROAD.csv
Park Place Boulevard - 859567F,,,859567F,29.69499,-95.264866,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/PARK_PLACE_BOULEVARD.csv
Park Terrace Boulevard - 859568M,,,859568M,29.7010388,-95.2705189,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/PARK_TERRACE_BOULEVARD.csv
Pineloch Drive - 900238R,,,900238R,29.5707709,-95.1485955,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/PINELOCH_DRIVE.csv
Polk Street - 288039B,,,288039B,29.7335182,-95.3176571,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/POLK_STREET.csv
Post Oak Road - 743673P,,,743673P,29.7981101,-95.4559745,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/POST_OAK_ROAD.csv
Post Oak Southbound Frontage - 440652H,,,440652H,29.6478337,-95.4639533,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/POST_OAK_SOUTHBOUND_FRONTAGE.csv
Private - 447983U,,,447983U,29.628843,-95.413218,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/PRIVATE.csv
Reed Road - 447996V,,,447996V,29.6574719,-95.401813,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/REED_ROAD.csv
Scott Street - 755327J,,,755327J,29.6796403,-95.3670853,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/SCOTT_STREET.csv
South 75Th Street - 745046X,,,745046X,29.7141909,-95.2948752,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/SOUTH_75TH_STREET.csv
South Pinemont Drive - 758656T,,,758656T,29.8408245,-95.5152968,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/SOUTH_PINEMONT_DRIVE.csv
South Shaver Street - 859587S,,,859587S,29.6371329,-95.2108116,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/SOUTH_SHAVER_STREET.csv
South Wayside Drive - 755626R,,,755626R,29.6989897,-95.3210371,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/SOUTH_WAYSIDE_DRIVE.csv
Telephone Road - 288051H,,,288051H,29.726338,-95.3248549,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/TELEPHONE_ROAD.csv
Telephone Road - 755355M,,,755355M,29.7063102,-95.30891,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/TELEPHONE_ROAD.csv
Tidwell Road - 176296N,,,176296N,29.8505584,-95.5289893,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/TIDWELL_ROAD.csv
Tidwell Road - 758750G,,,758750G,29.848112,-95.324045,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/TIDWELL_ROAD.csv
Wb Bellfort Rd - 023211L,,,023211L,29.6661684,-95.3179713,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/WB_BELLFORT_RD.csv
Weaver Road - 758747Y,,,758747Y,29.8341484,-95.329666,View on Map,https://portal.trainfo.ca/doc/us/tx/tx390/WEAVER_ROAD.csv
