param,value,crossing,n_gaps,days_unobserved
outage_h,6.0,Polk Street,986,446.95581944444456
outage_h,6.0,Telephone Road,445,364.9570671296297
outage_h,6.0,Commerce Street,30,12.2665763888889
outage_h,6.0,Leeland Street,93,130.24928472222223
outage_h,6.0,Hirsch Road,1043,568.3145416666669
outage_h,6.0,Market Street,177,61.091375000000056
outage_h,6.0,York Street,1446,615.4424305555559
outage_h,6.0,Lockwood Street,1342,515.9335625000002
outage_h,12.0,Polk Street,273,204.4728402777778
outage_h,12.0,Telephone Road,176,271.39606712962967
outage_h,12.0,Commerce Street,2,4.237902777777777
outage_h,12.0,Leeland Street,10,106.61790972222222
outage_h,12.0,Hirsch Road,189,276.72443055555556
outage_h,12.0,Market Street,8,10.125368055555557
outage_h,12.0,York Street,318,230.3829166666667
outage_h,12.0,Lockwood Street,184,124.10236805555559
outage_h,24.0,Polk Street,10,39.57882638888889
outage_h,24.0,Telephone Road,63,190.8485138888889
outage_h,24.0,Commerce Street,2,4.237902777777777
outage_h,24.0,Leeland Street,7,104.65370833333333
outage_h,24.0,Hirsch Road,14,165.01956944444444
outage_h,24.0,Market Street,2,6.917895833333334
outage_h,24.0,York Street,28,39.188812500000004
outage_h,24.0,Lockwood Street,2,14.141409722222223
outage_h,48.0,Polk Street,6,33.934868055555555
outage_h,48.0,Telephone Road,32,150.49778472222224
outage_h,48.0,Commerce Street,1,2.7341874999999995
outage_h,48.0,Leeland Street,5,101.65664583333334
outage_h,48.0,Hirsch Road,6,156.02900694444443
outage_h,48.0,Market Street,2,6.917895833333334
outage_h,48.0,York Street,2,6.043770833333333
outage_h,48.0,Lockwood Street,1,13.062729166666669
